--------------------
BDMEP - INMET
--------------------
Estação           : XXXXX
Latitude  (graus) : 
Longitude (graus) : 
Altitude  (metros): 
Estação Operante
Inicio de operação: 01/01/1958
Periodo solicitado dos dados: 01/01/1980 a 31/12/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Umidade Relativa Media;Velocidade do Vento Media;
83222;16/05/1980;0000;;27;;5.3;89.75;1.9;
83222;16/05/1980;1200;1.6;;19.8;;;;
83222;17/05/1980;0000;;26.3;;2.6;92;1.9;
83222;17/05/1980;1200;4.2;;21.2;;;;
83222;18/05/1980;0000;;27.8;;9.5;82;2.4;
83222;18/05/1980;1200;2.3;;20;;;;
83222;19/05/1980;0000;;24.8;20.7;0;94;3.066667;
83222;19/05/1980;1200;1.7;;20.7;;;;
83222;20/05/1980;0000;;28.2;;6.8;84.5;3.066667;
83222;20/05/1980;1200;5.6;;20.8;;;;
83222;21/05/1980;0000;;27.2;;2.7;91.25;2.4;
83222;21/05/1980;1200;1.2;;19.5;;;;
83222;22/05/1980;0000;;27.5;;8.1;82.5;3.066667;
83222;22/05/1980;1200;1.1;;20.2;;;;
83222;23/05/1980;0000;;24.7;;0;95.5;2.4;
83222;23/05/1980;1200;2.5;;17.8;;;;
83222;24/05/1980;0000;;25;;2.3;89.75;2.4;
83222;24/05/1980;1200;12.1;;19.5;;;;
83222;25/05/1980;0000;;27.3;;6;86;3.066667;
83222;25/05/1980;1200;0.2;;19.5;;;;
83222;26/05/1980;0000;;26.7;;5.3;88.5;1.9;
83222;26/05/1980;1200;0;;19.5;;;;
83222;27/05/1980;0000;;26.2;;5.9;92.5;2.4;
83222;27/05/1980;1200;3.2;;19.1;;;;
83222;28/05/1980;0000;;25.7;;5;90;1.9;
83222;28/05/1980;1200;9.4;;20;;;;
83222;29/05/1980;0000;;25.9;;3.8;87.5;2.4;
83222;29/05/1980;1200;8.4;;19.6;;;;
83222;30/05/1980;0000;;27;;7;88;2.566667;
83222;30/05/1980;1200;0.5;;19.6;;;;
83222;31/05/1980;0000;;26.3;;1;91;1.4;
83222;31/05/1980;1200;1.2;;19.1;;;;
83222;01/06/1980;0000;;27.5;;7.7;81.75;1.9;
83222;01/06/1980;1200;6;;18.7;;;;
83222;02/06/1980;0000;;26.7;;6.8;83;2.266667;
83222;02/06/1980;1200;0.7;;17.6;;;;
83222;03/06/1980;0000;;28.3;;8.9;83;1.766667;
83222;03/06/1980;1200;0;;18;;;;
83222;04/06/1980;0000;;27.8;;6.6;86;2.4;
83222;04/06/1980;1200;0;;18.3;;;;
83222;05/06/1980;0000;;27.4;;7.2;84.25;3.733333;
83222;05/06/1980;1200;0;;19.4;;;;
83222;06/06/1980;0000;;26.4;;4.4;91.5;3.733333;
83222;06/06/1980;1200;9;;20.8;;;;
83222;07/06/1980;0000;;26.2;;4.4;88;3.066667;
83222;07/06/1980;1200;8.2;;20.6;;;;
83222;08/06/1980;0000;;26.6;;8.6;84.5;4.5;
83222;08/06/1980;1200;2;;19.7;;;;
83222;09/06/1980;0000;;26.4;;7.3;85.25;2.4;
83222;09/06/1980;1200;0.6;;18.3;;;;
83222;10/06/1980;0000;;25.1;;3.6;89.75;3.066667;
83222;10/06/1980;1200;4.3;;19.1;;;;
83222;11/06/1980;0000;;26.2;;7.7;86;2.4;
83222;11/06/1980;1200;2.2;;18.5;;;;
83222;12/06/1980;0000;;25.3;;0.5;89.25;1.4;
83222;12/06/1980;1200;1.9;;19.1;;;;
83222;13/06/1980;0000;;26.6;;6.8;84.25;1.1;
83222;13/06/1980;1200;0.7;;18.6;;;;
83222;14/06/1980;0000;;28.6;;9.5;83.75;1.9;
83222;14/06/1980;1200;0;;17.7;;;;
83222;15/06/1980;0000;;27.7;;5.5;89.75;1.9;
83222;15/06/1980;1200;0;;17.6;;;;
83222;16/06/1980;0000;;25;;2.8;90;2.4;
83222;16/06/1980;1200;17.2;;19.2;;;;
83222;17/06/1980;0000;;24.8;;5;86.5;4.5;
83222;17/06/1980;1200;0;;18.2;;;;
83222;18/06/1980;0000;;25;;2.8;87;4.5;
83222;18/06/1980;1200;3;;19;;;;
83222;19/06/1980;0000;;24.6;;1;94;3.066667;
83222;19/06/1980;1200;6.3;;19.2;;;;
83222;20/06/1980;0000;;25.2;;3;90.5;2.4;
83222;20/06/1980;1200;1.4;;19.9;;;;
83222;21/06/1980;0000;;27.1;;7.9;85;2.4;
83222;21/06/1980;1200;0.2;;19.1;;;;
83222;22/06/1980;0000;;26.8;;7.2;86.25;3.066667;
83222;22/06/1980;1200;0;;19.3;;;;
83222;23/06/1980;0000;;27.6;;7.7;87.25;1.1;
83222;23/06/1980;1200;0.1;;18;;;;
83222;24/06/1980;0000;;27.3;;7;87.75;1.9;
83222;24/06/1980;1200;0;;18.9;;;;
83222;25/06/1980;0000;;27.6;;8.1;87.5;1.6;
83222;25/06/1980;1200;0;;18;;;;
83222;26/06/1980;0000;;27.2;;5.9;88.5;1.6;
83222;26/06/1980;1200;0;;17.8;;;;
83222;27/06/1980;0000;;27.6;;8.1;83.5;1.9;
83222;27/06/1980;1200;0;;19.7;;;;
83222;28/06/1980;0000;;26.7;;5.8;86.25;3.833333;
83222;28/06/1980;1200;0.1;;19.2;;;;
83222;29/06/1980;0000;;26.3;;2.5;91.75;1.6;
83222;29/06/1980;1200;7.1;26.3;18.7;;;;
83222;30/06/1980;0000;;24.9;;6.7;86.25;2.4;
83222;30/06/1980;1200;8.6;;17.6;;;;
83222;01/07/1980;0000;;24.4;;1.6;91.5;2.4;
83222;01/07/1980;1200;2.9;;19.2;;;;
83222;02/07/1980;0000;;26.4;;5.8;86;3.066667;
83222;02/07/1980;1200;0.7;;19.7;;;;
83222;03/07/1980;0000;;26.5;;8.4;85.75;2.4;
83222;03/07/1980;1200;0.1;;18.5;;;;
83222;04/07/1980;0000;;26.6;;8.3;88.25;2.4;
83222;04/07/1980;1200;0;;19.3;;;;
83222;05/07/1980;0000;;26.5;;6.1;87.25;3.066667;
83222;05/07/1980;1200;1;;18.7;;;;
83222;06/07/1980;0000;;21.4;18;0;96;1.9;
83222;06/07/1980;1200;1.7;;18;;;;
83222;07/07/1980;0000;;22;;0.1;86.25;4.5;
83222;07/07/1980;1200;12.9;;18.4;;;;
83222;08/07/1980;0000;;24.7;;9.3;83;3.733333;
83222;08/07/1980;1200;2.8;;17.8;;;;
83222;09/07/1980;0000;;25.3;;5.7;89;3.833333;
83222;09/07/1980;1200;0.2;;16.6;;;;
83222;10/07/1980;0000;;26.1;;6.6;87.5;2.4;
83222;10/07/1980;1200;6.5;;18.3;;;;
83222;11/07/1980;0000;;25.6;;4.9;83.25;3.066667;
83222;11/07/1980;1200;1.6;;19.4;;;;
83222;12/07/1980;0000;;22.5;;0.2;95.25;1.9;
83222;12/07/1980;1200;0.2;;19;;;;
83222;13/07/1980;0000;;24.8;;0.8;92.5;1.9;
83222;13/07/1980;1200;6.9;;19.6;;;;
83222;14/07/1980;0000;;26.4;;2.3;91.75;2.4;
83222;14/07/1980;1200;0.2;;20.2;;;;
83222;15/07/1980;0000;;29;;8.2;81.5;1.1;
83222;15/07/1980;1200;0;;18.8;;;;
83222;16/07/1980;0000;;26.8;;6.7;84.75;4.5;
83222;16/07/1980;1200;0;;20;;;;
83222;17/07/1980;0000;;27;19.6;0;94.25;3.066667;
83222;17/07/1980;1200;12.8;;19.6;;;;
83222;18/07/1980;0000;;28.6;;0.4;94.25;2.4;
83222;18/07/1980;1200;18.4;;18.5;;;;
83222;19/07/1980;0000;;25.6;;2.2;89.5;2.4;
83222;19/07/1980;1200;3.2;;19.2;;;;
83222;20/07/1980;0000;;26.4;;8.2;87.75;3.066667;
83222;20/07/1980;1200;0;;18.6;;;;
83222;21/07/1980;0000;;26.3;;8;83.75;1.9;
83222;21/07/1980;1200;0;;16.7;;;;
83222;22/07/1980;0000;;27;;9;83;1.9;
83222;22/07/1980;1200;0;;16.4;;;;
83222;23/07/1980;0000;;27.3;;8.4;81;1.1;
83222;23/07/1980;1200;0;;17.5;;;;
83222;24/07/1980;0000;;25.6;;8.1;84;3.066667;
83222;24/07/1980;1200;0;;16.7;;;;
83222;25/07/1980;0000;;25.6;;7.7;88.75;2.4;
83222;25/07/1980;1200;5.1;;18.6;;;;
83222;26/07/1980;0000;;26.5;;7.6;84;2.566667;
83222;26/07/1980;1200;0;;17;;;;
83222;27/07/1980;0000;;27.1;;8.6;84.25;1.9;
83222;27/07/1980;1200;0;;17.4;;;;
83222;28/07/1980;0000;;27;;9.2;81.25;2.566667;
83222;28/07/1980;1200;0;;17;;;;
83222;29/07/1980;0000;;26.8;;9.1;79;2.4;
83222;29/07/1980;1200;0;;18;;;;
83222;30/07/1980;0000;;26;;5.4;85.5;1.6;
83222;30/07/1980;1200;0.8;;18;;;;
83222;31/07/1980;0000;;26.6;;4.6;84;2.4;
83222;31/07/1980;1200;0;;17.4;;;;
83222;01/08/1980;0000;;27;;8.5;77;3.733333;
83222;01/08/1980;1200;0;;17.8;;;;
83222;02/08/1980;0000;;25.7;;4.9;84.75;3.833333;
83222;02/08/1980;1200;0.5;;17.8;;;;
83222;03/08/1980;0000;;25;;1.8;92.5;3.733333;
83222;03/08/1980;1200;6.2;;18.4;;;;
83222;04/08/1980;0000;;23.5;;2.5;92;2.4;
83222;04/08/1980;1200;6.8;;17.7;;;;
83222;05/08/1980;0000;;24.3;;3.2;85.25;3.733333;
83222;05/08/1980;1200;8.5;;16.4;;;;
83222;06/08/1980;0000;;25.3;;6.4;80.5;2.566667;
83222;06/08/1980;1200;7;;17.6;;;;
83222;07/08/1980;0000;;26;;4.7;86.75;1.9;
83222;07/08/1980;1200;0;;16.7;;;;
83222;08/08/1980;0000;;26.7;;7.8;82.75;3.066667;
83222;08/08/1980;1200;0.1;;18.1;;;;
83222;09/08/1980;0000;;26.8;;8.6;82.25;2.566667;
83222;09/08/1980;1200;0;;17.7;;;;
83222;10/08/1980;0000;;27;;8.7;82.25;2.566667;
83222;10/08/1980;1200;0;;18.4;;;;
83222;11/08/1980;0000;;26.5;;4.3;83.5;2.4;
83222;11/08/1980;1200;0;;17.8;;;;
83222;12/08/1980;0000;;27;;3.4;82.75;2.4;
83222;12/08/1980;1200;0;;16.6;;;;
83222;13/08/1980;0000;;26.6;;6.1;84.75;3.066667;
83222;13/08/1980;1200;2.5;;19;;;;
83222;14/08/1980;0000;;25.4;;4;84;3.066667;
83222;14/08/1980;1200;1;;17.5;;;;
83222;15/08/1980;0000;;25.6;;3.4;84.5;3.066667;
83222;15/08/1980;1200;3.3;;17.5;;;;
83222;16/08/1980;0000;;24;;2.2;88.25;2.4;
83222;16/08/1980;1200;0.5;;17;;;;
